Times,Filt,mag,magerr,lim_mag,Freqs,Fluxes,FluxErrs,days,Seconds
1224.0,i,20.234,0.06,-99,393170436721311.5,0.029270237673897900,0.001663061998722670,0.014166666666666700,1224.000000000000000000
2568.0,z,19.952,0.05,-99,328215960148894.2,0.03795126433935570,0.0017885879850097200,0.029722222222222200,2568.000000000000000000
16848.0,VT_B,19.92,0.2,-99,605000000000000.0,0.03908645190689930,0.00790579909614969,0.195,16848.000
16848.0,VT_R,20.19,0.2,-99,381000000000000.0,0.03048079211051940,0.006165180182925110,0.195,16848.000
22052.9,i,19.974,0.03,-99,393170436721311.5,0.03719000604175410,0.0010419262965911400,0.2552418981481480,22052.9000000000000000
22052.9,z,19.932,0.07,-99,328215960148894.2,0.03865683102183300,0.002574395005107590,0.2552418981481480,22052.9000000000000000
34100.7752,r,19.817,0.08,-99,481130569731985.2,0.042976025523135200,0.0032861709725877700,0.3946848981481480,34100.7752000000000000
37004.0,i,19.674,0.1,-99,393170436721311.5,0.04902597607149590,0.004729937735536880,0.428287037037037,37004.000000000000000
49648.0,i,19.584,0.09,-99,393170436721311.5,0.0532630766269102,0.00460329461324426,0.5746296296296300,49648.0000000000000000
51115.0,r,19.497,0.09,-99,481130569731985.2,0.05770670124143240,0.0049873376416744900,0.5916087962962960,51115.0000000000000000
56808.0,i,19.554,0.05,-99,393170436721311.5,0.05475531086082290,0.0025805382989462400,0.6575,56808.0000
63108.0,r,19.897,0.1,-99,481130569731985.2,0.03992328314838920,0.003851726342270210,0.7304166666666670,63108.0000000000000000
63108.0,i,19.674,0.1,-99,393170436721311.5,0.04902597607149590,0.004729937735536880,0.7304166666666670,63108.0000000000000000
63108.0,J,19.307,0.2,-99,240000000000000.0,0.06874264666347990,0.013904192561493300,0.7304166666666670,63108.0000000000000000
67680.0,r,19.697,0.2,-99,481130569731985.2,0.04799834344246900,0.009708357798963410,0.7833333333333330,67680.0000000000000000
72000.0,g,19.761,0.1,-99,628495719077568.1,0.04525079867726530,0.0043657154304209800,0.8333333333333330,72000.0000000000000000
72000.0,r,19.797,0.1,-99,481130569731985.2,0.04377500949065930,0.004223333951809620,0.8333333333333330,72000.0000000000000000
72000.0,i,19.774,0.1,-99,393170436721311.5,0.04471222158720760,0.004313754484288170,0.8333333333333330,72000.0000000000000000
72000.0,J,19.407,0.1,-99,240000000000000.0,0.06269403888310690,0.006048607780372860,0.8333333333333330,72000.0000000000000000
111111.0,r,20.527,0.05,-99,481130569731985.2,0.022347361218952500,0.001053198687018220,1.2860069444444400,111111.0000000000000000
118102.0,R,20.772,0.05,-99,468671768303359.2,0.017833075527182500,0.0008404469568781430,1.3669212962963000,118102.0000000000000000
142344.0,i,21.334,0.14,-99,393170436721311.5,0.010627380957297400,0.0014626175965644500,1.6475,142344.0000
460800.0,J,24.307,0.2,-99,240000000000000.0,0.0006874264666347990,0.00013904192561493300,5.333333333333330,460800.000000000000000
354240,radio,-99,-99,-99,6E+09,0.150,0.005,,
343872,radio,-99,-99,-99,1E+10,0.092,0.007,,
492480,radio,-99,-99,-99,1.3E+09,0.070,0.005,,
2051.907,swift,-99,-99,-99,2.42E+18,4.96894891215934E-04,1.09857607939125E-04,,
2159.920,swift,-99,-99,-99,2.42E+18,2.59931800744418E-04,5.90920994532601E-05,,
2351.256,swift,-99,-99,-99,2.42E+18,2.51936911850478E-04,5.65942375276858E-05,,
2487.048,swift,-99,-99,-99,2.42E+18,1.68151813518584E-04,3.70685753272723E-05,,
2589.705,swift,-99,-99,-99,2.42E+18,1.40542881203801E-04,3.11267757853287E-05,,
2680.752,swift,-99,-99,-99,2.42E+18,1.36822683015452E-04,3.01621518494812E-05,,
2777.448,swift,-99,-99,-99,2.42E+18,8.28890303327628E-05,1.86969750857335E-05,,
2881.132,swift,-99,-99,-99,2.42E+18,8.83994445103336E-05,1.99983533248838E-05,,
2990.720,swift,-99,-99,-99,2.42E+18,6.43892677261706E-05,1.43274554708949E-05,,
3101.779,swift,-99,-99,-99,2.42E+18,7.70059643659726E-05,1.69757358959331E-05,,
3215.688,swift,-99,-99,-99,2.42E+18,8.41250936520804E-05,1.91247384935622E-05,,
3362.898,swift,-99,-99,-99,2.42E+18,6.5552419402613E-05,1.48878814334289E-05,,
3577.430,swift,-99,-99,-99,2.42E+18,8.90766707422589E-05,1.52586832671414E-05,,
7689.536,swift,-99,-99,-99,2.42E+18,5.43420613629362E-05,1.2010424700003E-05,,
133150.208,swift,-99,-99,-99,2.42E+18,8.80809348585672E-06,2.63068041251198E-06,,
187274.702,swift,-99,-99,-99,2.42E+18,5.15439279683819E-06,1.4598333352389E-06,,
