Times,Filt,mag,magerr,lim_mag,Freqs,Fluxes,FluxErrs
1224.0,i,20.46,0.06,-99,393170436721311.5,0.023769839480382696,0.0013505430736838267
56808.0,i,19.78,0.05,-99,393170436721311.5,0.044465814195313834,0.002095609260926222
142344.0,i,21.334,0.14,-99,393170436721311.5,0.010627380957297400
3101.779,swift,-99,-99,-99,2.42e18,7.70059643659726e-05,1.69757358959331e-05
133150.208,swift,-99,-99,-99,2.42e18,8.80809348585672e-06,2.63068041251198e-06
187274.702,swift,-99,-99,-99,2.42e18,5.15439279683819e-06,1.4598333352389e-06
354240,radio,-99,-99,-99,6E+09,0.150,0.005
343872,radio,-99,-99,-99,1E+10,0.092,0.007
492480,radio,-99,-99,-99,1.3E+09,0.070,0.005
2568.0,z,19.952,0.05,-99,328215960148894.2,0.03795126433935570,0.0017885879850097200
22052.9,z,19.932,0.07,-99,328215960148894.2,0.03865683102183300,0.002574395005107590
16848.0,VT_B,19.92,0.2,-99,605000000000000.0,0.03908645190689930,0.00790579909614969
16848.0,VT_R,20.19,0.2,-99,381000000000000.0,0.03048079211051940,0.006165180182925110
63108.0,J,19.307,0.2,-99,240000000000000.0,0.06874264666347990,0.013904192561493300
72000.0,J,19.407,0.1,-99,240000000000000.0,0.06269403888310690,0.006048607780372860
460800.0,J,24.307,0.2,-99,240000000000000.0,0.0006874264666347990,0.00013904192561493300
118102.0,R,20.772,0.05,-99,468671768303359.2,0.017833075527182500,0.0008404469568781430
72000.0,g,19.761,0.1,-99,628495719077568.1,0.04525079867726530,0.0043657154304209800
34100.7752,r,19.817,0.08,-99,481130569731985.2,0.042976025523135200,0.0032861709725877700
72000.0,r,19.797,0.1,-99,481130569731985.2,0.04377500949065930,0.004223333951809620
111111.0,r,20.527,0.05,-99,481130569731985.2,0.022347361218952500,0.001053198687018220
