T_Mid,Exposure,Filter,mag,mag_err,lim_mag_5
61120.00174,300,r,19.6017204,0.1301918373,20.136
61122.00174,300,r,18.42742066,0.1649706476,20.046
61123.00174,300,r,18.06108073,0.05384661535,20.331
61125.00208,360,r,17.49541938,0.04820550738,19.642
61125.00278,480,i,17.73019449,0.06559362692,19.457
61125.00278,480,g,17.44392243,0.05809917886,20.314
61131.00243,420,i,17.28948446,0.1032070652,18.972
61131.00313,540,g,17.01172378,0.03948724613,19.778
61131.00347,600,r,16.86291145,0.03977041426,19.456
61132.00313,540,g,17.05749785,0.07257662442,19.91
61132.00347,600,r,16.8638749,0.01490471743,19.789
61133.00313,540,g,17.05825878,0.05903930359,19.348
61133.00347,600,r,16.99500895,0.07464850005,19.874
61134.00347,600,r,16.8821522,0.05245661101,19.745
61135.00313,540,g,17.18825172,0.07975083965,20.745
61135.00347,600,r,16.83414447,0.04041767503,20.281
61136.00243,420,i,17.10425126,0.05550698018,19.959
61136.00313,540,g,17.35826261,0.1232756927,20.933
61136.00347,600,r,16.93364673,0.03083137652,20.933
61138.00313,540,g,17.48152151,0.04437394531,20.795
61138.00347,600,r,16.98674662,0.04050511889,20.793
61140.00243,420,i,17.16480484,0.1619169089,19.794
61140.00313,540,g,17.74512063,0.03113070548,21.22
61140.00347,600,r,17.04061071,0.03382581138,20.827
61141.00243,420,i,17.14645157,0.05484103966,20.055
61141.00313,540,g,17.84915974,0.03720665474,21.209
61141.00347,600,r,17.0339535,0.0298348354,20.96
61142.00243,420,i,17.13160692,0.07217198789,19.839
61142.00313,540,g,17.93698801,0.03024120836,21.062
61142.00347,600,r,17.05382095,0.0351230241,20.892
61143.00243,420,i,17.19429613,0.07418544141,19.786
61143.00313,540,g,18.01834493,0.04556034876,21.175
61143.00347,600,r,17.12045882,0.0420945171,20.859
61144.00243,420,i,17.2281582,0.04534347556,20.025
61144.00313,540,g,18.12417554,0.05292085263,20.909
61144.00347,600,r,17.12527798,0.05521489219,20.706
61145.00313,540,g,18.26915999,0.03818600632,20.391
61145.00347,600,r,17.3082962,0.04523048204,19.926
61146.00243,420,i,17.31660976,0.04847559545,19.927
61146.00313,540,g,18.2559713,0.1143236506,20.889
61146.00347,600,r,17.2580617,0.06043416239,20.709
61147.00243,420,i,17.38817971,0.1288033648,19.308
61147.00313,540,g,18.33709398,0.051337922,20.875
61147.00347,600,r,17.33837926,0.05599903458,19.902
61148.00313,540,g,18.48299601,0.0551577403,20.385
61148.00347,600,r,17.34080229,0.05884185515,19.68
61150.00313,540,g,18.67209246,0.07596938194,20.614
61150.00347,600,r,17.51876781,0.04793100594,20.16646426
61152.00347,600,r,17.58504296,0.04130052697,20.567
61153.65027,420,i,17.53194452,0.1172192644,19.721
61162.61064,600,r,18.19445239,0.05684558939,19.46393127
