Filt,Freqs,Times,Fluxes,FluxErrs,UL
g',608700000000000.0,35510.399999999994,8.076556748499455e-05,7.438783668726123e-06,N
g',608700000000000.0,82944.0,2.5074151692616707e-05,1.847531773020501e-06,N
g',608700000000000.0,90633.59999999999,2.4844270488131718e-05,6.86472562467408e-07,N
g',608700000000000.0,150595.2,1.5675674932739185e-05,2.021296223673759e-06,N
g',608700000000000.0,189820.80000000002,9.020409401013074e-06,2.4924312263371265e-07,N
g',608700000000000.0,265852.8,5.287206209474901e-06,4.3827271925480856e-07,N
r',473200000000000.0,31017.6,0.00011107753895495127,5.115309707282725e-06,N
r',473200000000000.0,85449.6,3.233152940688865e-05,3.2756282964240185e-06,N
r',473200000000000.0,90720.00000000001,2.6892194824990714e-05,1.2384313384383049e-06,N
r',473200000000000.0,91497.59999999999,2.7141025240058324e-05,4.999561610106675e-07,N
r',473200000000000.0,151200.0,1.561802986340535e-05,8.630842258899118e-07,N
r',473200000000000.0,188784.0,1.1847487220515376e-05,4.3647755941433865e-07,N
r',473200000000000.0,250646.4,8.823202543560395e-06,8.126469859707726e-07,N
r',473200000000000.0,267235.2,7.47525907541942e-06,6.884968045331685e-07,N
i',384300000000000.0,88214.4,3.278130578392469e-05,1.5096349205388895e-06,N
i',384300000000000.0,147312.0,2.9082132508663595e-05,8.035690174431159e-07,N
i',384300000000000.0,151891.2,1.4048380090396999e-05,2.587807246148998e-06,N
i',384300000000000.0,190512.0,1.1366486721239429e-05,6.281352692169762e-07,N
i',384300000000000.0,268358.39999999997,8.78266361024981e-06,8.898045334526692e-07,N
z',322500000000000.0,189129.6,1.5192395190493271e-05,1.1194170461601358e-06,N
X-ray(10keV),2.42E+18,25464.909,1.66E-07,3.72E-08,N
X-ray(10keV),2.42E+18,25542.627,2.74E-07,6.00E-08,N
X-ray(10keV),2.42E+18,25601.809,2.37E-07,5.34E-08,N
X-ray(10keV),2.42E+18,25676.578,1.73E-07,3.80E-08,N
X-ray(10keV),2.42E+18,25768.422,2.92E-07,6.55E-08,N
X-ray(10keV),2.42E+18,25837.495,3.81E-07,8.58E-08,N
X-ray(10keV),2.42E+18,25919.322,4.61E-07,1.01E-07,N
X-ray(10keV),2.42E+18,25986.69,3.06E-07,6.88E-08,N
X-ray(10keV),2.42E+18,26061.87,9.57E-08,2.09E-08,N
X-ray(10keV),2.42E+18,26167.205,8.93E-08,2.01E-08,N
X-ray(10keV),2.42E+18,26239.049,1.99E-07,4.47E-08,N
X-ray(10keV),2.42E+18,26315.395,2.48E-07,5.59E-08,N
X-ray(10keV),2.42E+18,26410.537,2.58E-07,5.79E-08,N
X-ray(10keV),2.42E+18,26493.543,4.34E-07,9.74E-08,N
X-ray(10keV),2.42E+18,26586.304,3.11E-07,7.00E-08,N
X-ray(10keV),2.42E+18,26676.312,2.65E-07,5.97E-08,N
X-ray(10keV),2.42E+18,26808.698,2.42E-07,5.45E-08,N
X-ray(10keV),2.42E+18,26917.348,2.47E-07,5.43E-08,N
X-ray(10keV),2.42E+18,27009.426,2.63E-07,5.91E-08,N
X-ray(10keV),2.42E+18,27118.051,1.69E-07,3.11E-08,N
X-ray(10keV),2.42E+18,31016.755,2.25E-07,5.05E-08,N
X-ray(10keV),2.42E+18,31182.977,1.98E-07,4.43E-08,N
X-ray(10keV),2.42E+18,31316.513,3.46E-07,7.80E-08,N
X-ray(10keV),2.42E+18,31479.114,4.59E-07,1.03E-07,N
X-ray(10keV),2.42E+18,31623.79,3.48E-07,7.82E-08,N
X-ray(10keV),2.42E+18,31780.242,1.93E-07,4.33E-08,N
X-ray(10keV),2.42E+18,31934.823,2.27E-07,5.09E-08,N
X-ray(10keV),2.42E+18,32077.985,1.92E-07,4.30E-08,N
X-ray(10keV),2.42E+18,32248.876,2.23E-07,5.00E-08,N
X-ray(10keV),2.42E+18,32373.863,2.42E-07,5.40E-08,N
X-ray(10keV),2.42E+18,32551.623,1.79E-07,3.91E-08,N
X-ray(10keV),2.42E+18,36729.277,8.90E-08,1.99E-08,N
X-ray(10keV),2.42E+18,36850.481,5.00E-08,1.12E-08,N
X-ray(10keV),2.42E+18,37037.543,7.73E-08,1.74E-08,N
X-ray(10keV),2.42E+18,37144.618,1.18E-07,2.64E-08,N
X-ray(10keV),2.42E+18,37295.037,9.65E-08,2.17E-08,N
X-ray(10keV),2.42E+18,37441.356,1.65E-07,3.61E-08,N
X-ray(10keV),2.42E+18,37581.876,1.19E-07,2.67E-08,N
X-ray(10keV),2.42E+18,37765.9,1.28E-07,2.89E-08,N
X-ray(10keV),2.42E+18,38018.371,1.39E-07,2.33E-08,N
X-ray(10keV),2.42E+18,192150.933,2.88E-08,6.71E-09,N
X-ray(10keV),2.42E+18,212307.543,2.77E-08,7.33E-09,N
X-ray(10keV),2.42E+18,214919.496,2.34E-08,4.70E-09,N
X-ray(10keV),2.41799e+18,1421366.4000000001,9.908918329375996e-10,5.384606121368325e-10,N
radio(15.5GHz),15500000000.0,170121.6,0.0002805603204482489,4.134489673918531e-05,N
radio(6GHz),6000000000.0,197683.19999999998,0.00022910061178075806,1.0550473069643794e-05,N
radio(10GHz),10000000000.0,197683.19999999998,0.00019589630703524254,7.217086661630946e-06,N
radio(75GHz),75000000000.0,327024.0,0.00013804676980399552,4.19581053258392e-05,N
radio(90GHz),90000000000.0,327024.0,0.00010280784336747523,3.787580921293044e-05,N
radio(3GHz),3000000000.0,1812412.7999999998,3.0480792110519286e-05,1.1229538805813157e-05,N
radio(6GHz),6000000000.0,1812412.7999999998,4.9206927562465986e-05,7.704613375661297e-06,N
radio(6GHz),6000000000.0,1812412.7999999998,2.8315631313099487e-05,1.0171067487400294e-05,N
r,483840000000000.0,31017.6,0.00010995785237879029,4.050996987920678e-06,N
r,483840000000000.0,31017.6,0.00010995785237879029,4.050996987920678e-06,N
r,483840000000000.0,31017.6,0.00011200212148196193,2.06315532246459e-06,N
r,483840000000000.0,32572.8,0.00010028275324175395,2.7709148723863556e-06,N
r,483840000000000.0,32572.8,0.00010028275324175395,2.7709148723863556e-06,N
r,483840000000000.0,32572.8,9.936335543372846e-05,9.151703240462884e-07,N
g,624900000000000.0,33955.200000000004,8.21913755647304e-05,2.2710316337762792e-06,N
g,624900000000000.0,33955.200000000004,8.21913755647304e-05,2.2710316337762792e-06,N
g,624900000000000.0,33955.200000000004,8.069121389465708e-05,7.431935449977256e-07,N
g,624900000000000.0,35510.399999999994,7.995143239900147e-05,2.209139716865544e-06,N
g,624900000000000.0,35510.399999999994,7.995143239900147e-05,2.209139716865544e-06,N
g,624900000000000.0,35510.399999999994,7.495942541660673e-05,2.0712054665241316e-06,N
r,483840000000000.0,38534.4,8.264683922497305e-05,3.0448220797199765e-06,N
r,483840000000000.0,38534.4,8.264683922497305e-05,3.0448220797199765e-06,N
r,483840000000000.0,38534.4,8.264683922497305e-05,1.5224110398599883e-06,N
u,811780000000000.0,38966.4,4.6092073835233085e-05,8.490473769455089e-06,N
g,624900000000000.0,39312.0,6.064936370934423e-05,7.261816680388925e-06,N
r,483840000000000.0,39484.8,7.399906782608295e-05,2.7262264075487025e-06,N
r,483840000000000.0,39744.0,7.264843262365325e-05,6.022051127589827e-06,N
i,398900000000000.0,39744.0,8.630307080734899e-05,3.974403286412228e-06,N
r,483840000000000.0,40003.2,7.399906782608295e-05,1.090490563019481e-05,N
r,483840000000000.0,42249.600000000006,8.418335868445073e-05,9.30428864567938e-06,N
r,483840000000000.0,42249.600000000006,8.418335868445073e-05,9.30428864567938e-06,N
r,483840000000000.0,42249.600000000006,8.341156101291987e-05,4.609493207321103e-06,N
u,811780000000000.0,42336.0,5.292078149622443e-05,1.121062343761774e-05,N
g,624900000000000.0,42681.6,5.233909981688067e-05,6.748852937068303e-06,N
r,483840000000000.0,42940.8,7.332064029436967e-05,2.7012322136095066e-06,N
r,483840000000000.0,42940.8,7.677613561360567e-05,1.1314149463140973e-05,N
r,483840000000000.0,42940.8,7.677613561360567e-05,1.1314149463140973e-05,N
r,483840000000000.0,42940.8,7.468377277045862e-05,4.815040772354755e-06,N
i,398900000000000.0,43200.0,8.241879277190155e-05,3.7955256723829185e-06,N
r,483840000000000.0,44755.200000000004,7.399906782608295e-05,6.815566018871757e-06,N
r,483840000000000.0,44755.200000000004,7.399906782608295e-05,6.815566018871757e-06,N
r,483840000000000.0,44755.200000000004,7.537481321168059e-05,4.859593796075939e-06,N
r,483840000000000.0,45792.0,7.537481321168059e-05,8.330732221844465e-06,N
r,483840000000000.0,45792.0,7.892711871795478e-05,4.361673767830416e-06,N
g,624900000000000.0,45878.4,4.313464706456135e-05,5.164702156765755e-06,N
r,483840000000000.0,46137.600000000006,6.625615801498938e-05,1.8307253011724702e-06,N
i,398900000000000.0,46310.4,7.047356621539368e-05,2.596342128283109e-06,N
r,483840000000000.0,71884.8,3.883526284665724e-05,1.7884299462643697e-06,N
g,624900000000000.0,73440.0,2.8498778697675786e-05,1.5749007119473088e-06,N
i,398900000000000.0,74995.2,4.9206927562465986e-05,2.7192753090569283e-06,N
g,624900000000000.0,118195.2,1.4283224057244e-05,1.973300327646238e-06,N
r,483840000000000.0,118540.80000000002,1.8933297058398963e-05,1.2206747719011292e-06,N
i,398900000000000.0,118886.40000000001,1.8198108453006227e-05,2.0113292757398914e-06,N
r,483840000000000.0,160704.0,1.0696119563394593e-05,4.925745091910875e-07,N
g,624900000000000.0,183600.0,7.63530251828405e-06,1.6877696408736719e-06,N
r,483840000000000.0,183772.8,1.3098641286608796e-05,1.689001225241219e-06,N
i,398900000000000.0,183945.6,1.3062498359504978e-05,2.1655810079895842e-06,N
r,483840000000000.0,259977.59999999998,7.468377277045862e-06,1.100580747966801e-06,N
g,624900000000000.0,183577.999968,9.012105121774264e-06,2.2411230022684127e-06,N
r,483840000000000.0,183749.9999904,1.6642794432180668e-05,2.759144426301853e-06,N
i,398900000000000.0,183920.0000256,1.6444711126300492e-05,4.089457443385387e-06,N
z,346000000000000.0,184089.9999744,2.50972564782931e-05,8.321553884443094e-06,N
g,624900000000000.0,125546.39997119998,1.0935187873979243e-05,7.050176164559881e-07,N
r,483840000000000.0,125546.39997119998,1.8081158319712492e-05,6.661344897765642e-07,N
i,398900000000000.0,125546.39997119998,1.9589630703524253e-05,1.2629901657854156e-06,N
r,483840000000000.0,91007.9999712,2.8393978484542632e-05,1.5691092381432366e-06,N
r,483840000000000.0,81216.0,2.7620163742821693e-05,3.0526933104132412e-06,N
g,624900000000000.0,82857.59999999999,2.392358438137018e-05,1.101721775350563e-06,N
r,483840000000000.0,85363.2,3.0847945782038743e-05,1.4206004021442194e-06,N
i,398900000000000.0,88214.4,3.221263479709826e-05,8.900679922783168e-07,N
g,624900000000000.0,188720.99997119998,7.092939392382053e-06,1.6332096510409162e-06,N
r,483840000000000.0,189145.0000224,1.1728061884602715e-05,1.404252744190289e-06,N
i,398900000000000.0,189571.99996799996,1.1482230184071386e-05,1.480573475145467e-06,N
r,483840000000000.0,88955.71199999998,2.473012143403294e-05,2.2777283584774716e-06,N
i,398900000000000.0,88955.71199999998,4.7427064948067125e-05,5.2418329321862295e-06,N
r,483840000000000.0,175355.712,1.1200212148196193e-05,2.06315532246459e-06,N
i,398900000000000.0,175355.712,2.35519162821365e-05,4.121502142044536e-06,N
