Times,Freqs,Fluxes,FluxErrs,Filt,Instrument,GCN Number,UL
31017.6,4.73E+14,1.11E-01,5.12E-03,r',,,N
31017.6,4.84E+14,0.109958,4.05E-03,r,,,N
31017.6,4.84E+14,0.109958,4.05E-03,r,,,N
31017.6,4.84E+14,0.112002,2.06E-03,r,,,N
32572.8,4.84E+14,0.100283,2.77E-03,r,,,N
32572.8,4.84E+14,1.00E-01,2.77E-03,r,,,N
32572.8,4.84E+14,9.94E-02,9.15E-04,r,,,N
33955.2,6.25E+14,8.22E-02,2.27E-03,g,,,N
33955.2,6.25E+14,8.22E-02,2.27E-03,g,,,N
33955.2,6.25E+14,8.07E-02,7.43E-04,g,,,N
35510.4,6.09E+14,8.08E-02,7.44E-03,g',,,N
35510.4,6.25E+14,8.00E-02,2.21E-03,g,,,N
35510.4,6.25E+14,8.00E-02,2.21E-03,g,,,N
35510.4,6.25E+14,7.50E-02,2.07E-03,g,,,N
38534.4,4.84E+14,8.26E-02,3.05E-03,r,,,N
38534.4,4.84E+14,8.26E-02,3.05E-03,r,,,N
38534.4,4.84E+14,8.26E-02,1.52E-03,r,,,N
38966.4,8.12E+14,4.61E-02,8.49E-03,u,,,N
39312.0,6.25E+14,6.06E-02,7.26E-03,g,,,N
39484.8,4.84E+14,7.40E-02,2.73E-03,r,,,N
39744.0,4.84E+14,7.26E-02,6.02E-03,r,,,N
39744.0,3.99E+14,8.63E-02,3.97E-03,i,,,N
40003.2,4.84E+14,7.40E-02,1.09E-02,r,,,N
42249.6,4.84E+14,8.42E-02,9.30E-03,r,,,N
42249.6,4.84E+14,8.42E-02,9.30E-03,r,,,N
42249.6,4.84E+14,8.34E-02,4.61E-03,r,,,N
42336.0,8.12E+14,5.29E-02,1.12E-02,u,,,N
42681.6,6.25E+14,5.23E-02,6.75E-03,g,,,N
42940.8,4.84E+14,7.33E-02,2.70E-03,r,,,N
42940.8,4.84E+14,7.68E-02,1.13E-02,r,,,N
42940.8,4.84E+14,7.68E-02,1.13E-02,r,,,N
42940.8,4.84E+14,7.47E-02,4.82E-03,r,,,N
43200.0,3.99E+14,8.24E-02,3.80E-03,i,,,N
44755.2,4.84E+14,7.40E-02,6.82E-03,r,,,N
44755.2,4.84E+14,7.40E-02,6.82E-03,r,,,N
44755.2,4.84E+14,7.54E-02,4.86E-03,r,,,N
45792.0,4.84E+14,7.54E-02,8.33E-03,r,,,N
45792.0,4.84E+14,7.89E-02,4.36E-03,r,,,N
45878.4,6.25E+14,4.31E-02,5.17E-03,g,,,N
46137.6,4.84E+14,6.63E-02,1.83E-03,r,,,N
46310.4,3.99E+14,7.05E-02,2.60E-03,i,,,N
71884.8,4.84E+14,3.88E-02,1.79E-03,r,,,N
73440.0,6.25E+14,2.85E-02,1.58E-03,g,,,N
74995.2,3.99E+14,4.92E-02,2.72E-03,i,,,N
81216.0,4.84E+14,2.76E-02,3.05E-03,r,,,N
82857.6,6.25E+14,2.39E-02,1.10E-03,g,,,N
82944.0,6.09E+14,2.51E-02,1.85E-03,g',,,N
85363.2,4.84E+14,3.08E-02,1.42E-03,r,,,N
85449.6,4.73E+14,3.23E-02,3.28E-03,r',,,N
88214.4,3.84E+14,3.28E-02,1.51E-03,i',,,N
88214.4,3.99E+14,3.22E-02,8.90E-04,i,,,N
88955.7,4.84E+14,2.47E-02,2.28E-03,r,,,N
88955.7,3.99E+14,4.74E-02,5.24E-03,i,,,N
90633.6,6.09E+14,2.48E-02,6.86E-04,g',,,N
90720.0,4.73E+14,2.69E-02,1.24E-03,r',,,N
91008.0,4.84E+14,2.84E-02,1.57E-03,r,,,N
91497.6,4.73E+14,2.71E-02,5.00E-04,r',,,N
118195.2,6.25E+14,1.43E-02,1.97E-03,g,,,N
118540.8,4.84E+14,1.89E-02,1.22E-03,r,,,N
