Times,Freqs,Fluxes,FluxErrs,Filt,UL
25464.9,2.42E+18,1.66E-04,3.72E-05,X-ray(10keV),
25542.6,2.42E+18,2.74E-04,6.00E-05,X-ray(10keV),
25601.8,2.42E+18,2.37E-04,5.34E-05,X-ray(10keV),
25676.6,2.42E+18,1.73E-04,3.80E-05,X-ray(10keV),
25768.4,2.42E+18,2.92E-04,6.55E-05,X-ray(10keV),
25837.5,2.42E+18,3.81E-04,8.58E-05,X-ray(10keV),
25919.3,2.42E+18,4.61E-04,1.01E-04,X-ray(10keV),
25986.7,2.42E+18,3.06E-04,6.88E-05,X-ray(10keV),
26061.9,2.42E+18,9.57E-05,2.09E-05,X-ray(10keV),
26167.2,2.42E+18,8.93E-05,2.01E-05,X-ray(10keV),
26239.1,2.42E+18,1.99E-04,4.47E-05,X-ray(10keV),
26265.6,2.42E+18,2.29E-04,9.50E-05,X-ray(10keV),
26315.4,2.42E+18,2.48E-04,5.59E-05,X-ray(10keV),
26410.5,2.42E+18,2.58E-04,5.79E-05,X-ray(10keV),
26493.5,2.42E+18,4.34E-04,9.74E-05,X-ray(10keV),
26586.3,2.42E+18,3.11E-04,7.00E-05,X-ray(10keV),
26676.3,2.42E+18,2.65E-04,5.97E-05,X-ray(10keV),
26808.7,2.42E+18,2.42E-04,5.45E-05,X-ray(10keV),
26917.4,2.42E+18,2.47E-04,5.43E-05,X-ray(10keV),
27009.4,2.42E+18,2.63E-04,5.91E-05,X-ray(10keV),
27118.1,2.42E+18,1.69E-04,3.11E-05,X-ray(10keV),
31017.6,483840000000000,0.1099578524,0.004050996988,r,
31017.6,483840000000000,0.1120021215,0.002063155322,r,
31017.6,483840000000000,0.109654447,5.05E-03,r,
31016.8,2.42E+18,2.25E-04,5.05E-05,X-ray(10keV),
31183.0,2.42E+18,1.98E-04,4.43E-05,X-ray(10keV),
31316.5,2.42E+18,3.46E-04,7.80E-05,X-ray(10keV),
31479.1,2.42E+18,4.59E-04,1.03E-04,X-ray(10keV),
31623.8,2.42E+18,3.48E-04,7.82E-05,X-ray(10keV),
31780.2,2.42E+18,1.93E-04,4.33E-05,X-ray(10keV),
31795.2,2.42E+18,1.77E-04,5.71E-05,X-ray(10keV),
31934.8,2.42E+18,2.27E-04,5.09E-05,X-ray(10keV),
32078.0,2.42E+18,1.92E-04,4.30E-05,X-ray(10keV),
32248.9,2.42E+18,2.23E-04,5.00E-05,X-ray(10keV),
32572.8,483840000000000,0.1002827532,0.002770914872,r,
32572.8,483840000000000,0.09936335543,0.000915170324,r,
32551.6,2.42E+18,1.79E-04,3.91E-05,X-ray(10keV),
33955.2,624900000000000,0.08219137556,0.002271031634,g,
33955.2,624900000000000,0.08069121389,0.000743193545,g,
35510.4,624900000000000,0.0799514324,0.002209139717,g,
35510.4,624900000000000,0.07495942542,0.002071205467,g,
35510.4,624900000000000,0.08017265186,7.38E-03,g,
36729.3,2.42E+18,8.90E-05,1.99E-05,X-ray(10keV),
36850.5,2.42E+18,5.00E-05,1.12E-05,X-ray(10keV),
37037.5,2.42E+18,7.73E-05,1.74E-05,X-ray(10keV),
37144.6,2.42E+18,1.18E-04,2.64E-05,X-ray(10keV),
37295.0,2.42E+18,9.65E-05,2.17E-05,X-ray(10keV),
37324.8,2.42E+18,9.55E-05,3.25E-05,X-ray(10keV),
37441.4,2.42E+18,1.65E-04,3.61E-05,X-ray(10keV),
37581.9,2.42E+18,1.19E-04,2.67E-05,X-ray(10keV),
37765.9,2.42E+18,1.28E-04,2.89E-05,X-ray(10keV),
38018.4,2.42E+18,1.39E-04,2.33E-05,X-ray(10keV),
38534.4,483840000000000,0.08264683922,0.00152241104,r,
38966.4,811780000000000,0.04609207384,0.008490473769,u,
39312,624900000000000,0.06064936371,0.00726181668,g,
39484.8,483840000000000,0.07399906783,0.002726226408,r,
39744,483840000000000,0.07264843262,0.006022051128,r,
39744,398900000000000,0.08630307081,0.003974403286,i,
40003.2,483840000000000,0.07399906783,0.01090490563,r,
42249.6,483840000000000,0.08418335868,0.009304288646,r,
42249.6,483840000000000,0.08341156101,0.004609493207,r,
42336,811780000000000,0.0529207815,0.01121062344,u,
42681.6,624900000000000,0.05233909982,0.006748852937,g,
42940.8,483840000000000,0.07332064029,0.002701232214,r,
42940.8,483840000000000,0.07677613561,0.01131414946,r,
42940.8,483840000000000,0.07468377277,0.004815040772,r,
43200,398900000000000,0.08241879277,0.003795525672,i,
44755.2,483840000000000,0.07399906783,0.006815566019,r,
44755.2,483840000000000,0.07537481321,0.004859593796,r,
45792,483840000000000,0.07537481321,0.008330732222,r,
45792,483840000000000,0.07892711872,0.004361673768,r,
45878.4,624900000000000,0.04313464706,0.005164702157,g,
46137.6,483840000000000,0.06625615801,0.001830725301,r,
46310.4,398900000000000,0.07047356622,0.002596342128,i,
71884.8,483840000000000,0.03883526285,0.001788429946,r,
73440,624900000000000,0.0284987787,0.001574900712,g,
74995.2,398900000000000,0.04920692756,0.002719275309,i,
82944,624900000000000,0.02355191628,1.74E-03,g,
85449.6,483840000000000,0.02910893048,3.22E-03,r,
88214.4,398900000000000,0.0288420582,1.59E-03,i,
90720,483840000000000,0.02376983948,1.31E-03,r,
118195.2,624900000000000,0.01428322406,0.001973300328,g,
118540.8,483840000000000,0.01893329706,0.001220674772,r,
118886.4,398900000000000,0.01819810845,0.002011329276,i,
147312,398900000000000,0.02512038255,9.25E-04,i,
150595.2,624900000000000,0.01432274464,1.98E-03,g,
151200,483840000000000,0.01259001504,9.28E-04,r,
151891.2,398900000000000,0.01028078434,2.56E-03,i,
160704,483840000000000,0.01069611956,0.0004925745092,r,
183600,624900000000000,0.007635302518,0.001687769641,g,
183772.8,483840000000000,0.01309864129,0.001689001225,r,
183945.6,398900000000000,0.01306249836,0.002165581008,i,
188784,483840000000000,0.008954188833,4.95E-04,r,
189129.6,3.41E+14,0.0108649129,1.20E-03,z,
189820.8,624900000000000,0.007727272876,2.85E-04,g,
190512,398900000000000,0.007656428812,7.76E-04,i,
212307.5,2.42E+18,2.77E-05,7.33E-06,X-ray(10keV),
214012.8,2.42E+18,1.77E-05,4.24E-06,X-ray(10keV),
214919.5,2.42E+18,2.34E-05,4.70E-06,X-ray(10keV),
250646.4,483840000000000,0.005915973895,8.17E-04,r,
259977.6,483840000000000,0.007468377277,0.001100580748,r,
265852.8,624900000000000,0.00401815096,3.70E-04,g,
268358.4,398900000000000,0.005058552351,9.78E-04,i,
530259.9,2.42E+18,3.78E-06,6.92E-07,X-ray(10keV),
531792.0,2.42E+18,3.16E-06,5.83E-07,X-ray(10keV),
990768.5,2.42E+18,3.18E-06,6.82E-07,X-ray(10keV),
993859.2,2.42E+18,2.88E-06,6.11E-07,X-ray(10keV),
1421366.0,2.42E+18,9.91E-07,5.38E-07,X-ray(10keV),
1421373.0,2.42E+18,1.35E-06,6.84E-07,X-ray(10keV),
1836371.0,2.42E+18,7.98E-07,1.58E-07,X-ray(10keV),
3206883.0,2.42E+18,7.70E-07,2.14E-07,X-ray(10keV),
3570113.0,2.42E+18,5.97E-07,2.18E-07,X-ray(10keV),
,
