GCN number,Magnitude,Error,Time - t0 (hours),Filter ,Instrument
41847,18.9,0.11,10.43,L,GOTO
41847,19.17,0.07,13.33,L,GOTO
41847,19.28,0.12,14.47,L,GOTO
41860,19.76,0.03,29.49,R,MAO/AZT-22
41863,20,0.1,38.64,r,OSIRIS+
41873,19.56,0.1,19.78,R,KAIT
41873,20.31,0.1,43.37,R,KAIT
41892,20.52,0.02,53.54,R,Mondy
0,21.75,0.05,81.9,r,Wendelstein
0,21.33,0.06,81.9,i,Wendelstein
0,20.61,0.12,81.9,J,Wendelstein
0,21.95,0.09,103.5,r,Wendelstein
0,21.9,0.12,103.5,i,Wendelstein
0,20.87,0.18,103.5,J,Wendelstein
0,19.8,0.06,28.23,r,GIT
0,19.75,0.07,28.85,i,GIT
0,20.69,0.1,51.37,r,GIT
0,20.17,0.06,28.54,g,GIT
41934,22.6,0.1,130.7,SAO-R,SAO-RAS	
41859,19.6,0.02,31.34,SAO-R,SAO-RAS		
41870,19.72,0.05,34.7,SAO-R,SAO-RAS	
41936,21.45,0.02,82.19,R,CrAO																				
41936,21.89,0.03,107.61,R,CrAO																				
41936,22.72,0.05,130.7,R,CrAO																				
0,20.02,0.09,19.245,g,ZTF																				
0,20.1,0.08,19.268,g,ZTF																				
0,19.58,0.13,20.223,r,ZTF																				
0,21.5,0.21,86.975,r,SEDM																				
0,21.17,0.19,87.04,i,SEDM			
41938,21.52,0.2,29.08,u,Swift/UVOT																				
42024,23,0.25,159.84,VT_R,SVOM/VT																				
42024,23.5,0.3,159.84,VT_B,SVOM/VT																				
