Times,Filt,Freqs,AB,AB_Err,UL,instrument
106164,R,4.68E+14,19.65,0.03,N,MAO/AZT-22
139104,r,4.81E+14,19.88,0.1,N,OSIRIS+
71208,R,4.68E+14,19.45,0.1,N,KAIT
156132,R,4.68E+14,20.2,0.1,N,KAIT
192744,R,4.68E+14,20.41,0.02,N,Mondy
294840,r,4.81E+14,21.63,0.05,N,Wendelstein
294840,i,3.93E+14,21.24,0.06,N,Wendelstein
294840,J,2.40E+14,20.57,0.12,N,Wendelstein
372600,r,4.81E+14,21.83,0.09,N,Wendelstein
372600,i,3.93E+14,21.81,0.12,N,Wendelstein
372600,J,2.40E+14,20.83,0.18,N,Wendelstein
101628,r,4.81E+14,19.68,0.06,N,GIT
103860,i,3.93E+14,19.66,0.07,N,GIT
184932,r,4.81E+14,20.57,0.1,N,GIT
102744,g,6.28E+14,20,0.06,N,GIT
295884,R,4.68E+14,21.34,0.02,N,CrAO
387396,R,4.68E+14,21.78,0.03,N,CrAO
470519,R,4.68E+14,22.61,0.05,N,CrAO
69282,g,6.28E+14,19.85,0.09,N,ZTF
69364,g,6.28E+14,19.93,0.08,N,ZTF
72802,r,4.81E+14,19.46,0.13,N,ZTF
313110,r,4.81E+14,21.38,0.21,N,SEDM
313344,i,3.93E+14,21.08,0.19,N,SEDM
104688,u,8.65E+14,21.3,0.2,N,\swift/UVOT
575424,VT_R,3.63385E14,22.92,0.25,N,SVOM/VT
575424,VT_B,5.45077E+14,23.36,0.3,N,SVOM/VT
724850,r,4.81E+00,22.68,0,Y,HCT
458218,r,4.81E+14,22.97,0.30,FTW-3KK
458218,i,3.93E+14,22.167,0.20,FTW-3KK
458230,J,2.40E+14,21.39,1.30,FTW-3KK
