Times,Fluxes,FluxErrs,Filt,Freqs,UL,instrument
106164,0.05011872336272715,0.0013848315035388957,R,468000000000000.0,N,MAO/AZT-22
139104,0.0405508535448381,0.00373487163522116,r,481000000000000.0,N,OSIRIS+
71208,0.06025595860743593,0.005549778882141931,R,468000000000000.0,N,KAIT
156132,0.030199517204020192,0.0027814783251837653,R,468000000000000.0,N,KAIT
192744,0.024888573182823753,0.0004584644607732909,R,468000000000000.0,N,Mondy
294840,0.00809095899178378,0.0003726024312501494,r,481000000000000.0,N,Wendelstein
294840,0.011587773561551168,0.0006403640319316378,i,393000000000000.0,N,Wendelstein
294840,0.021478304741305198,0.0023738699673654094,J,240000000000000.0,N,Wendelstein
372600,0.006729766562843114,0.0005578509660095639,r,481000000000000.0,N,Wendelstein
372600,0.006854882264526592,0.0007576295863933537,i,393000000000000.0,N,Wendelstein
372600,0.016904409316432428,0.0028025165446478625,J,240000000000000.0,N,Wendelstein
101628,0.0487528490103385,0.002694182000932679,r,481000000000000.0,N,GIT
103860,0.04965923214503338,0.003201649014667169,i,393000000000000.0,N,GIT
184932,0.021478304741305198,0.0019782249728045077,r,481000000000000.0,N,GIT
102744,0.036307805477010326,0.0020064434796165974,g,628000000000000.0,N,GIT
295884,0.010568175092136606,0.00019467297941843785,R,468000000000000.0,N,CrAO
387396,0.0070469306896714535,0.0001947138906887969,R,468000000000000.0,N,CrAO
470519,0.0032809529311311507,0.00015109346620075417,R,468000000000000.0,N,CrAO
69282,0.04168693834703329,0.003455558021175866,g,628000000000000.0,N,ZTF
69364,0.03872576449216149,0.002853419777102374,g,628000000000000.0,N,ZTF
72802,0.05970352865838317,0.007148567664572668,r,481000000000000.0,N,ZTF
313110,0.010185913880541067,0.0019701304106278196,r,481000000000000.0,N,SEDM
313344,0.013427649611378533,0.0023497912430121707,i,393000000000000.0,N,SEDM
104688,0.01096478196143174,0.002019787479385819,u,865000000000000.0,N,\swift/UVOT
575424,0.002466039337234316,0.0005678265416652654,VT_R,363385000000000.0,N,SVOM/VT
575424,0.001644371723214909,0.0004543566980658697,VT_B,545077000000000.0,N,SVOM/VT
724850,0.003076096814740705,0.0,r,481000000000000,Y,HCT
102568.558,0.00001252610321,0.000003020762287,X-ray(10keV),2.418e18,N,Swift/XRT
106865.713,0.00001453143072,0.000003852412161,X-ray(10keV),2.418e18,N,Swift/XRT
781948.047,2.36E-06,0.0,X-ray(10keV),2.418e18,Y,Swift/XRT
781948.047,2.36E-06,0.0,X-ray(10keV),2.418e18,Y,Swift/XRT
1296000.0,1,0.0,radio(15.5GHz),1.55e10,Y,ALMA
458218,0.0023550492838960092,0.0006507241649238305,r,481000000000000.0,N,FTW-3KK
458218,0.00493400971187959,0.0009088781769009433,i,393000000000000.0,N,FTW-3KK
458230,0.010092528860766711,0.0.0,J,240000000000000.0,Y,FTW-3KK
