Times,Fluxes,FluxErrs,Filt,Freqs
37548.0,0.10000604421820891,0.009635634991375139,L,86898551000000.0
47988.0,0.07798772451567951,0.004869397003176443,L,86898551000000.0
52092.0,0.07047356621539368,0.007374018123504078,L,86898551000000.0
106164.0,0.04529249540216118,0.0012343462417779907,R,468671768303359.2
139104.0,0.03631,0.0031948864229869867,r,481130569731985.2
71208.0,0.054453556377091206,0.004791322719706011,R,468671768303359.2
156132.0,0.027291427281801003,0.0024013497793048434,R,468671768303359.2
192744.0,0.022491905436037924,0.00041052353960764273,R,468671768303359.2
294840.0,0.007244797465651983,0.00032606959872744264,r,481130569731985.2
294840.0,0.010666605886272317,0.0005734670110383189,i,393170436721311.5
294840.0,0.020702664726513952,0.0021662281774069425,J,240000000000000.0
372600.0,0.006025960060905792,0.0004793677034433596,r,481130569731985.2
372600.0,0.006309954809188985,0.0006602436008309575,i,393170436721311.5
372600.0,0.016293945108472,0.00248926812807242,J,240000000000000.0
101628.0,0.04365422162095818,0.0023469748727093995,r,481130569731985.2
103860.0,0.04571158170224617,0.0028541394217319535,i,393170436721311.5
184932.0,0.019232079647706027,0.001692214545641911,r,481130569731985.2
102744.0,0.03104747234484275,0.0016692002456757254,g,628495719077568.1
470519.99999999994,0.0033115113577013014,0.0002913771048275158,SAO-R,45562310000000.0
112824.0,0.05248391807578454,0.0009579394632536972,SAO-R,45562310000000.0
124920.00000000001,0.046992251003049004,0.0021149996946788624,SAO-R,45562310000000.0
295884.0,0.00955050307857213,0.0001743163263778942,R,468671768303359.2
387396.0,0.006368340102187431,0.00017355494771709949,R,468671768303359.2
470519.99999999994,0.0029650105904030543,0.0001334474590931052,R,468671768303359.2
69282.0,0.03564726781105556,0.0028357554201988294,g,628495719077568.1
69364.8,0.033115113577013015,0.002352286169568025,g,628495719077568.1
72802.8,0.05345966696333204,0.006032602015264815,r,481130569731985.2
313110.0,0.009120659632811293,0.0016039763953510366,r,481130569731985.2
313344.0,0.012360221368043291,0.0019843101050489136,i,393170436721311.5
102568.558,0.00010194286445208738,2.458427456170686e-05,X-ray(1keV),2.418e17
106865.713,0.0001182630901253038,3.135260218410689e-05,X-ray(1keV),2.418e17
1171802.9,0.058,0.017,radio(15GHz),15000000000.0
