filter,JD,diff_PSF_type,diff_psf_mag,diff_psf_mag_err,lim_mag_5
r,2461121.11,Forced_PSF,21.40,0.21,20.34
r,2461121.11,PSF,20.39,0.91,20.12
r,2461121.12,Forced_PSF,19.10,0.91,19.28
r,2461121.12,Forced_PSF,19.59,0.17,20.09
r,2461121.13,Forced_PSF,19.44,0.20,19.99
r,2461121.13,Forced_PSF,20.82,0.23,19.94
r,2461123.27,PSF,18.28,0.20,20.05
r,2461124.10,PSF,18.00,0.06,20.49
r,2461124.103,Forced_PSF,18.09728521,0.05025814872,20.355
r,2461126.091,PSF,17.39872064,0.04791451172,19.53114778
r,2461126.106,PSF,17.39387866,0.1478768642,19.53987771
g,2461132.282,PSF,16.89399425,0.1201148158,19.65268854
g,2461132.288,PSF,16.89979688,0.05761559472,19.59645359
i,2461132.3,PSF,16.96475758,0.0709450283,18.91968629
r,2461132.305,PSF,16.94783619,0.04114472616,19.44139343
r,2461133.157,PSF,16.97921501,0.0408790695,19.92557861
i,2461135.165,PSF,17.12854078,0.09256146618,19.4618562
r,2461135.175,Forced_PSF,16.89064754,0.05791569437,19.71961195
r,2461135.182,PSF,16.95245687,0.03370513653,19.25194051
g,2461136.106,PSF,17.26743736,0.05501491046,20.7384678
r,2461136.112,PSF,16.91277867,0.02953949797,20.25850863
r,2461137.1,PSF,16.90357693,0.02647716848,20.95002422
