Times,Times_uerr,Times_lerr,Fluxes,Fluxes_uerr,Fluxes_lerr,Gamma,Gamma_uerr,Gamma_lerr,Fluxes_10,Fluxes_10_err
2051.907,56.987,-88.437,2.42740590839143E-11,5.36670855964378E-12,-5.36670855964378E-12,1.65,0.43,0.31,4.96894891215934E-04,1.09857607939125E-04
2159.920,54.283,-51.025,1.41385479979337E-11,3.2142141978237E-12,-3.2142141978237E-12,1.72,0.31,0.22,2.59931800744418E-04,5.90920994532601E-05
2351.256,83.592,-137.053,1.63699976721926E-11,3.67729972469285E-12,-3.67729972469285E-12,1.84,0.28,0.20,2.51936911850478E-04,5.65942375276858E-05
2487.048,48.092,-52.201,1.26401274045725E-11,2.78647910503166E-12,-2.78647910503166E-12,1.93,0.33,0.23,1.68151813518584E-04,3.70685753272723E-05
2589.705,43.221,-54.565,1.26540631989348E-11,2.80256235387305E-12,-2.80256235387305E-12,2.03,0.24,0.18,1.40542881203801E-04,3.11267757853287E-05
2680.752,37.423,-47.826,1.43724241299604E-11,3.16835797617019E-12,-3.16835797617019E-12,2.12,0.31,0.23,1.36822683015452E-04,3.01621518494812E-05
2777.448,56.064,-59.273,9.97983548576627E-12,2.25111495077218E-12,-2.25111495077218E-12,2.19,0.24,0.18,8.28890303327628E-05,1.86969750857335E-05
2881.132,45.151,-47.62,1.22442159637368E-11,2.76997393349422E-12,-2.76997393349422E-12,2.26,0.24,0.18,8.83994445103336E-05,1.99983533248838E-05
2990.720,53.407,-64.437,9.98245467166348E-12,2.22122691947239E-12,-2.22122691947239E-12,2.31,0.31,0.23,6.43892677261706E-05,1.43274554708949E-05
3101.779,57.684,-57.652,1.05195910803151E-11,2.3190125775706E-12,-2.3190125775706E-12,2.25,0.23,0.18,7.70059643659726E-05,1.69757358959331E-05
3215.688,56.606,-56.224,1.01402273809105E-11,2.30524791719357E-12,-2.30524791719357E-12,2.18,0.20,0.15,8.41250936520804E-05,1.91247384935622E-05
3362.898,82.400,-90.605,6.76476702659181E-12,1.53637425337582E-12,-1.53637425337582E-12,2.11,0.24,0.18,6.5552419402613E-05,1.48878814334289E-05
3577.430,103.545,-132.131,8.72624911717315E-12,1.49479173704625E-12,-1.49479173704625E-12,2.08,0.26,0.20,8.90766707422589E-05,1.52586832671414E-05
7689.536,142.088,-118.671,4.98160519625287E-12,1.10101075656925E-12,-1.10101075656925E-12,2.04,0.21,0.16,5.43420613629362E-05,1.2010424700003E-05
133150.208,39298.866,-40395.956,6.30488203587691E-13,1.8830555899086E-13,-1.8830555899086E-13,1.90,0.54,0.39,8.80809348585672E-06,2.63068041251198E-06
187274.702,6131.598,-10158.035,3.58196431915793E-13,1.01448824815033E-13,-1.01448824815033E-13,1.88,0.59,0.43,5.15439279683819E-06,1.4598333352389E-06
