Times,Filt,Freqs,Fluxes,FluxErrs
1416959.9999999998,3_GHz,3000000000.0,0.0186999999999999,0.0063
1503359.9999999998,3_GHz,3000000000.0,0.0150999999999999,0.0039
1581120.0,3_GHz,3000000000.0,0.0145,0.0037
1935360.0,3_GHz,3000000000.0,0.0225,0.0034
2090880.0,3_GHz,3000000000.0,0.0256,0.0029
2704320.0,3_GHz,3000000000.0,0.034,0.0036
4000319.999999999,3_GHz,3000000000.0,0.044,0.004
4691520.0,3_GHz,3000000000.0,0.048,0.006
4942080.0,3_GHz,3000000000.0,0.061,0.009
8043839.999999999,3_GHz,3000000000.0,0.07,0.0057
9936000.0,3_GHz,3000000000.0,0.0962,0.008
14083200.0,3_GHz,3000000000.0,0.0973,0.0113
17020800.0,3_GHz,3000000000.0,0.0759,0.0052
18748800.0,3_GHz,3000000000.0,0.0605,0.0075
18835200.0,3_GHz,3000000000.0,0.0647,0.0027
22204800.0,3_GHz,3000000000.0,0.0432,0.0058
23068800.0,3_GHz,3000000000.0,0.0402999999999999,0.0027
23587200.0,3_GHz,3000000000.0,0.0348,0.0049
24969600.0,3_GHz,3000000000.0,0.0363,0.0039
25401600.0,3_GHz,3000000000.0,0.0312,0.0036
42249600.0,3_GHz,3000000000.0,0.0148,0.0029
66268800.0,3_GHz,3000000000.0,0.0049,0.0018
1676159.9999999998,6_GHz,6000000000.0,0.019,0.006
2021760.0,6_GHz,6000000000.0,0.0226,0.0034
3386880.0000000005,6_GHz,6000000000.0,0.0228,0.0026
4605120.0,6_GHz,6000000000.0,0.032,0.004
5806080.0,6_GHz,6000000000.0,0.0426,0.0040999999999999
6920639.999999999,6_GHz,6000000000.0,0.0417,0.0047
9676800.0,6_GHz,6000000000.0,0.0629,0.0032
14083200.0,6_GHz,6000000000.0,0.0673,0.0040999999999999
18748800.0,6_GHz,6000000000.0,0.0417,0.0075
23587200.0,6_GHz,6000000000.0,0.0272,0.0021
24969600.0,6_GHz,6000000000.0,0.027,0.0028
47088000.0,6_GHz,6000000000.0,0.0059,0.0019
9590400.0,HST,506000000000000.0,0.000111,1.9e-05
11836800.0,HST,506000000000000.0,8.400000000000001e-05,1.7999999999999997e-05
14256000.0,HST,506000000000000.0,9.1e-05,1.6e-05
14860800.0,HST,506000000000000.0,8.5e-05,1.7e-05
18057600.0,HST,506000000000000.0,8.2e-05,2e-05
18835200.0,HST,506000000000000.0,6.3e-05,1.7999999999999997e-05
25660800.0,HST,506000000000000.0,4.4e-05,1.4e-05
28339200.0,HST,506000000000000.0,3.4e-05,1.1e-05
31276800.0,HST,506000000000000.0,2.7e-05,7e-06
794879.9999999999,1keV,2.41e+17,4.48e-07,1.44e-07
1287360.0,1keV,2.41e+17,5.11e-07,1.02e-07
9417600.0,1keV,2.41e+17,2.117e-06,1.9e-07
11491200.0,1keV,2.41e+17,2.194e-06,4.42e-07
13651200.0,1keV,2.41e+17,2.187e-06,1.88e-07
13910400.0,1keV,2.41e+17,1.738e-06,2.89e-07
22377600.0,1keV,2.41e+17,1.15e-06,1.45e-07
30844800.0,1keV,2.41e+17,7.119999999999999e-07,1.45e-07
50198400.0,1keV,2.41e+17,2.63e-07,7.7e-08
64022400.0,1keV,2.41e+17,2.1900000000000002e-07,8.1e-08
81043200.0,1keV,2.41e+17,1.3e-07,5.9e-08
